Name,Preferred Subject,Age,Proficiency,name,age,subject,score
David Moore,Math and Logic,14.0,4.0,,,,
Jessica Garcia,Physical Science and Engineering,14.0,4.0,,,,
Sandra Gonzalez,Arts and Humanities,18.0,2.0,,,,
Sarah Robinson,Information Technology,16.0,0.0,,,,
Emily Davis,Personal Development,16.0,3.0,,,,
Christopher Clark,Health,15.0,6.0,,,,
Patricia Davis,Data Science,15.0,0.0,,,,
John Sanchez,Information Technology,12.0,7.0,,,,
Christopher Gonzalez,Personal Development,15.0,8.0,,,,
Sarah Williams,Language Learning,16.0,5.0,,,,
Susan Robinson,Arts and Humanities,13.0,4.0,,,,
Andrew Lewis,Math and Logic,12.0,8.0,,,,
Christopher Miller,Math and Logic,16.0,3.0,,,,
Ashley Gonzalez,Data Science,14.0,3.0,,,,
Sandra Jones,Health,18.0,0.0,,,,
Thomas Jones,Personal Development,16.0,9.0,,,,
Jessica White,Language Learning,15.0,5.0,,,,
Emily Moore,Social Sciences,13.0,8.0,,,,
Thomas White,Information Technology,12.0,7.0,,,,
Donna Wilson,Computer Science,14.0,2.0,,,,
Donna Gonzalez,Arts and Humanities,14.0,3.0,,,,
Lisa Davis,Personal Development,16.0,8.0,,,,
William Taylor,Business,16.0,3.0,,,,
Ashley Williams,Arts and Humanities,13.0,6.0,,,,
Patricia Ramirez,Computer Science,14.0,8.0,,,,
Linda Jones,Language Learning,13.0,10.0,,,,
David Sanchez,Computer Science,16.0,0.0,,,,
Margaret Martin,Data Science,16.0,6.0,,,,
Robert Gonzalez,Math and Logic,17.0,0.0,,,,
Matthew Martin,Business,18.0,1.0,,,,
Sandra Taylor,Physical Science and Engineering,14.0,4.0,,,,
Thomas Moore,Social Sciences,17.0,5.0,,,,
James Perez,Arts and Humanities,18.0,7.0,,,,
Linda Perez,Social Sciences,13.0,9.0,,,,
Paul Harris,Information Technology,18.0,2.0,,,,
Sarah Harris,Math and Logic,12.0,3.0,,,,
Nancy Brown,Physical Science and Engineering,17.0,2.0,,,,
Charles Wilson,Social Sciences,13.0,6.0,,,,
David Anderson,Language Learning,18.0,7.0,,,,
James White,Personal Development,18.0,1.0,,,,
Thomas Taylor,Physical Science and Engineering,17.0,4.0,,,,
Barbara Taylor,Social Sciences,17.0,10.0,,,,
Michael Ramirez,Information Technology,18.0,8.0,,,,
Karen Clark,Language Learning,17.0,5.0,,,,
Steven Martin,Information Technology,12.0,8.0,,,,
Richard Jones,Arts and Humanities,15.0,1.0,,,,
Lisa Harris,Personal Development,17.0,9.0,,,,
David Moore,Language Learning,16.0,10.0,,,,
Kimberly Robinson,Math and Logic,12.0,7.0,,,,
James Martin,Personal Development,15.0,0.0,,,,
Christopher Thomas,Personal Development,15.0,1.0,,,,
Mary Brown,Math and Logic,16.0,5.0,,,,
Lisa Lewis,Personal Development,18.0,0.0,,,,
Karen Davis,Data Science,12.0,1.0,,,,
Patricia Davis,Information Technology,15.0,9.0,,,,
Andrew Williams,Physical Science and Engineering,17.0,6.0,,,,
Jennifer White,Computer Science,15.0,7.0,,,,
Ashley Clark,Information Technology,17.0,9.0,,,,
Robert Harris,Physical Science and Engineering,14.0,7.0,,,,
Paul Harris,Language Learning,17.0,10.0,,,,
William Jones,Language Learning,13.0,2.0,,,,
Donald Moore,Personal Development,17.0,0.0,,,,
David Rodriguez,Math and Logic,12.0,9.0,,,,
Kimberly Ramirez,Computer Science,14.0,2.0,,,,
Joshua Wilson,Social Sciences,17.0,5.0,,,,
Susan Robinson,Math and Logic,16.0,1.0,,,,
Paul Harris,Social Sciences,16.0,9.0,,,,
Richard Thompson,Social Sciences,18.0,2.0,,,,
Karen Gonzalez,Social Sciences,18.0,0.0,,,,
Lisa Anderson,Personal Development,18.0,1.0,,,,
Kimberly Anderson,Language Learning,12.0,8.0,,,,
Linda Davis,Health,12.0,2.0,,,,
Joseph Williams,Physical Science and Engineering,15.0,8.0,,,,
Nancy Smith,Physical Science and Engineering,17.0,5.0,,,,
Donna Moore,Health,18.0,2.0,,,,
Joseph Jackson,Personal Development,14.0,3.0,,,,
Joseph Smith,Health,18.0,3.0,,,,
Robert Thompson,Physical Science and Engineering,16.0,2.0,,,,
Patricia Davis,Social Sciences,17.0,9.0,,,,
Robert Lewis,Health,17.0,7.0,,,,
John Ramirez,Physical Science and Engineering,13.0,0.0,,,,
Nancy Williams,Language Learning,18.0,4.0,,,,
Steven Davis,Math and Logic,17.0,9.0,,,,
Sarah Perez,Arts and Humanities,16.0,10.0,,,,
Ashley Miller,Social Sciences,12.0,3.0,,,,
Paul Jones,Social Sciences,14.0,7.0,,,,
Andrew Jackson,Personal Development,12.0,9.0,,,,
Donald Davis,Arts and Humanities,13.0,5.0,,,,
Donald Sanchez,Math and Logic,15.0,8.0,,,,
Anthony Miller,Math and Logic,18.0,2.0,,,,
Michael Brown,Health,12.0,9.0,,,,
Margaret Lopez,Personal Development,12.0,1.0,,,,
Margaret Wilson,Data Science,15.0,5.0,,,,
Sandra Ramirez,Social Sciences,12.0,8.0,,,,
Patricia Perez,Health,16.0,10.0,,,,
Michael Johnson,Math and Logic,13.0,5.0,,,,
Betty White,Math and Logic,15.0,5.0,,,,
Nancy Sanchez,Physical Science and Engineering,17.0,1.0,,,,
Michael Davis,Language Learning,14.0,1.0,,,,
Richard Miller,Language Learning,12.0,6.0,,,,
Paul Anderson,Physical Science and Engineering,15.0,3.0,,,,
William Wilson,Health,12.0,9.0,,,,
Barbara Rodriguez,Information Technology,13.0,10.0,,,,
Sandra Davis,Personal Development,12.0,7.0,,,,
Robert Anderson,Language Learning,16.0,1.0,,,,
Emily Brown,Data Science,17.0,4.0,,,,
Patricia Lee,Computer Science,16.0,9.0,,,,
Paul Clark,Social Sciences,12.0,2.0,,,,
James Williams,Math and Logic,16.0,0.0,,,,
Jessica Garcia,Health,17.0,7.0,,,,
Anthony Thomas,Health,18.0,5.0,,,,
Donald Miller,Personal Development,18.0,7.0,,,,
Betty Lewis,Math and Logic,12.0,4.0,,,,
Patricia Garcia,Physical Science and Engineering,15.0,1.0,,,,
Matthew Smith,Data Science,13.0,4.0,,,,
Matthew Rodriguez,Math and Logic,15.0,2.0,,,,
Sandra Martinez,Information Technology,13.0,4.0,,,,
Margaret Thompson,Physical Science and Engineering,16.0,8.0,,,,
Emily Perez,Health,13.0,7.0,,,,
Ashley Jones,Arts and Humanities,16.0,3.0,,,,
Richard Martinez,Information Technology,15.0,9.0,,,,
Susan Johnson,Social Sciences,16.0,6.0,,,,
Donna White,Personal Development,13.0,2.0,,,,
Paul Johnson,Information Technology,17.0,6.0,,,,
Christopher Johnson,Language Learning,18.0,2.0,,,,
Patricia Jackson,Physical Science and Engineering,18.0,5.0,,,,
Donald Taylor,Data Science,14.0,9.0,,,,
Kimberly Garcia,Social Sciences,18.0,1.0,,,,
Patricia Taylor,Personal Development,14.0,8.0,,,,
Jennifer Ramirez,Computer Science,18.0,8.0,,,,
Barbara Williams,Social Sciences,16.0,3.0,,,,
Joshua Williams,Computer Science,14.0,1.0,,,,
Jessica Gonzalez,Arts and Humanities,18.0,2.0,,,,
Linda Lewis,Language Learning,12.0,4.0,,,,
Andrew Davis,Arts and Humanities,17.0,10.0,,,,
Donna Martin,Business,18.0,9.0,,,,
John Martin,Computer Science,12.0,7.0,,,,
Jennifer Wilson,Health,15.0,7.0,,,,
Donna Jackson,Social Sciences,13.0,3.0,,,,
Kimberly Hernandez,Information Technology,16.0,10.0,,,,
Thomas Miller,Information Technology,16.0,6.0,,,,
Christopher Davis,Language Learning,17.0,7.0,,,,
Thomas Gonzalez,Personal Development,16.0,7.0,,,,
William Perez,Social Sciences,14.0,2.0,,,,
Karen Anderson,Language Learning,16.0,4.0,,,,
Christopher Robinson,Personal Development,13.0,4.0,,,,
Robert Smith,Arts and Humanities,17.0,3.0,,,,
Sandra Martin,Health,17.0,10.0,,,,
Andrew Brown,Social Sciences,15.0,4.0,,,,
Robert Moore,Business,17.0,3.0,,,,
Susan Taylor,Arts and Humanities,14.0,10.0,,,,
Thomas Jones,Math and Logic,12.0,5.0,,,,
Daniel Lewis,Information Technology,12.0,4.0,,,,
Robert Lewis,Personal Development,15.0,9.0,,,,
Jessica Lopez,Computer Science,16.0,7.0,,,,
Charles Garcia,Information Technology,12.0,8.0,,,,
Mark Clark,Arts and Humanities,15.0,7.0,,,,
Paul Thompson,Arts and Humanities,16.0,2.0,,,,
Karen Martin,Physical Science and Engineering,17.0,9.0,,,,
Kimberly Smith,Computer Science,12.0,6.0,,,,
Emily Martinez,Data Science,17.0,5.0,,,,
Michael Lewis,Data Science,16.0,7.0,,,,
William Rodriguez,Computer Science,15.0,1.0,,,,
Linda Lewis,Physical Science and Engineering,18.0,5.0,,,,
Michael White,Business,12.0,6.0,,,,
Emily Jones,Business,13.0,4.0,,,,
Sarah Martinez,Computer Science,18.0,3.0,,,,
Joshua Miller,Social Sciences,15.0,8.0,,,,
Nancy Miller,Computer Science,15.0,10.0,,,,
Thomas Taylor,Language Learning,15.0,10.0,,,,
Ashley Rodriguez,Language Learning,13.0,0.0,,,,
Patricia Williams,Social Sciences,12.0,2.0,,,,
Margaret Clark,Data Science,16.0,9.0,,,,
Sarah Johnson,Computer Science,12.0,9.0,,,,
James Hernandez,Math and Logic,16.0,0.0,,,,
William Lee,Arts and Humanities,13.0,3.0,,,,
Thomas Garcia,Health,18.0,4.0,,,,
Mark Moore,Business,12.0,8.0,,,,
Margaret Moore,Math and Logic,13.0,10.0,,,,
James Brown,Personal Development,16.0,0.0,,,,
Robert Lewis,Business,12.0,10.0,,,,
Elizabeth Moore,Business,15.0,4.0,,,,
John Clark,Computer Science,12.0,2.0,,,,
Lisa Jackson,Physical Science and Engineering,17.0,4.0,,,,
Emily Jones,Personal Development,18.0,7.0,,,,
Margaret Jones,Social Sciences,18.0,9.0,,,,
John Martinez,Social Sciences,13.0,6.0,,,,
Lisa Lewis,Arts and Humanities,15.0,0.0,,,,
John Lewis,Health,13.0,10.0,,,,
Daniel Miller,Health,17.0,0.0,,,,
Jessica Perez,Health,14.0,0.0,,,,
Michael Lopez,Personal Development,14.0,9.0,,,,
Emily Lewis,Personal Development,14.0,4.0,,,,
Anthony Martin,Personal Development,13.0,0.0,,,,
Elizabeth Robinson,Social Sciences,14.0,9.0,,,,
Jessica Ramirez,Language Learning,18.0,1.0,,,,
David Sanchez,Physical Science and Engineering,16.0,6.0,,,,
Barbara Lewis,Health,15.0,5.0,,,,
Anthony Smith,Data Science,17.0,7.0,,,,
Barbara White,Business,17.0,3.0,,,,
Nancy Sanchez,Language Learning,13.0,7.0,,,,
Anthony Sanchez,Personal Development,17.0,6.0,,,,
Jessica Rodriguez,Physical Science and Engineering,14.0,2.0,,,,
David Sanchez,Health,14.0,4.0,,,,
Michael Gonzalez,Data Science,16.0,2.0,,,,
John Ramirez,Arts and Humanities,17.0,6.0,,,,
Donald Davis,Health,18.0,6.0,,,,
Richard Clark,Language Learning,15.0,2.0,,,,
Sandra Lopez,Personal Development,12.0,2.0,,,,
Karen Clark,Business,12.0,5.0,,,,
Joseph Davis,Data Science,13.0,4.0,,,,
Mary Perez,Computer Science,12.0,9.0,,,,
Richard Gonzalez,Personal Development,17.0,2.0,,,,
Nancy Rodriguez,Personal Development,17.0,0.0,,,,
Robert Harris,Social Sciences,14.0,3.0,,,,
Sarah Lopez,Information Technology,18.0,6.0,,,,
Steven Gonzalez,Computer Science,17.0,9.0,,,,
Paul Hernandez,Computer Science,17.0,3.0,,,,
Mary Brown,Health,13.0,0.0,,,,
Thomas Garcia,Arts and Humanities,14.0,9.0,,,,
Donna Rodriguez,Health,13.0,1.0,,,,
John Brown,Health,17.0,4.0,,,,
Joshua Wilson,Information Technology,14.0,10.0,,,,
Daniel White,Personal Development,13.0,0.0,,,,
Christopher Wilson,Data Science,15.0,1.0,,,,
Joshua Taylor,Data Science,16.0,10.0,,,,
Linda Gonzalez,Health,12.0,5.0,,,,
Andrew Miller,Social Sciences,16.0,2.0,,,,
Thomas Johnson,Computer Science,12.0,7.0,,,,
Margaret Smith,Business,13.0,3.0,,,,
Kimberly Robinson,Health,13.0,1.0,,,,
Paul Perez,Math and Logic,15.0,1.0,,,,
Richard Lopez,Social Sciences,14.0,7.0,,,,
Margaret Williams,Arts and Humanities,13.0,2.0,,,,
Nancy Martin,Personal Development,12.0,2.0,,,,
Christopher Perez,Personal Development,13.0,6.0,,,,
Linda White,Arts and Humanities,16.0,4.0,,,,
Karen Taylor,Information Technology,14.0,1.0,,,,
Karen Perez,Health,16.0,4.0,,,,
Anthony Hernandez,Health,15.0,7.0,,,,
Betty Thompson,Computer Science,15.0,5.0,,,,
Charles Moore,Computer Science,18.0,6.0,,,,
William Miller,Arts and Humanities,18.0,9.0,,,,
Anthony Perez,Information Technology,17.0,0.0,,,,
Matthew Perez,Information Technology,12.0,0.0,,,,
Barbara Martin,Data Science,13.0,10.0,,,,
Andrew Martinez,Arts and Humanities,16.0,1.0,,,,
Betty Moore,Personal Development,15.0,8.0,,,,
James Martinez,Arts and Humanities,17.0,4.0,,,,
Charles Miller,Business,18.0,2.0,,,,
Margaret Sanchez,Language Learning,15.0,9.0,,,,
Donna Martin,Social Sciences,12.0,3.0,,,,
Christopher Anderson,Health,13.0,3.0,,,,
Mark Anderson,Math and Logic,18.0,5.0,,,,
Susan Taylor,Information Technology,14.0,9.0,,,,
Donald Sanchez,Arts and Humanities,13.0,8.0,,,,
David Perez,Language Learning,15.0,4.0,,,,
Jennifer Martinez,Physical Science and Engineering,14.0,7.0,,,,
Steven Perez,Physical Science and Engineering,13.0,4.0,,,,
Michelle Hernandez,Business,18.0,2.0,,,,
Jennifer Clark,Information Technology,18.0,2.0,,,,
Jessica Perez,Language Learning,17.0,9.0,,,,
Karen Davis,Personal Development,14.0,8.0,,,,
Richard Jones,Arts and Humanities,12.0,10.0,,,,
Mary Johnson,Information Technology,14.0,3.0,,,,
Jessica Thomas,Personal Development,14.0,10.0,,,,
Michelle Ramirez,Health,13.0,5.0,,,,
Robert Anderson,Physical Science and Engineering,17.0,9.0,,,,
Anthony Lewis,Data Science,18.0,6.0,,,,
Andrew Miller,Computer Science,15.0,10.0,,,,
Matthew Thomas,Personal Development,14.0,6.0,,,,
Betty Davis,Math and Logic,16.0,7.0,,,,
Elizabeth Lee,Arts and Humanities,18.0,7.0,,,,
James Lewis,Data Science,12.0,1.0,,,,
Michael Harris,Arts and Humanities,17.0,5.0,,,,
Margaret Davis,Health,16.0,3.0,,,,
Barbara Sanchez,Health,18.0,9.0,,,,
Kimberly Anderson,Physical Science and Engineering,15.0,0.0,,,,
Patricia Moore,Physical Science and Engineering,18.0,2.0,,,,
Jessica Robinson,Arts and Humanities,14.0,2.0,,,,
Linda Anderson,Social Sciences,18.0,6.0,,,,
William Sanchez,Health,14.0,2.0,,,,
Sandra Perez,Social Sciences,17.0,4.0,,,,
Kimberly Moore,Health,12.0,7.0,,,,
Joshua Hernandez,Arts and Humanities,13.0,3.0,,,,
Mark Martin,Personal Development,18.0,6.0,,,,
Steven Wilson,Information Technology,15.0,5.0,,,,
Emily Anderson,Business,18.0,0.0,,,,
David White,Math and Logic,17.0,0.0,,,,
Donald Anderson,Personal Development,14.0,3.0,,,,
Thomas Harris,Health,18.0,2.0,,,,
Jessica Clark,Math and Logic,16.0,9.0,,,,
Sarah Harris,Computer Science,16.0,9.0,,,,
Kimberly Thomas,Information Technology,13.0,0.0,,,,
Jessica Rodriguez,Business,12.0,9.0,,,,
Mark Williams,Arts and Humanities,14.0,0.0,,,,
Charles Davis,Personal Development,18.0,10.0,,,,
Sarah Hernandez,Physical Science and Engineering,17.0,0.0,,,,
Christopher Lewis,Physical Science and Engineering,16.0,6.0,,,,
Paul Williams,Arts and Humanities,15.0,4.0,,,,
William Jones,Business,15.0,7.0,,,,
Joseph Gonzalez,Information Technology,13.0,6.0,,,,
Elizabeth Thompson,Arts and Humanities,16.0,1.0,,,,
Susan Williams,Information Technology,14.0,10.0,,,,
Anthony Wilson,Arts and Humanities,14.0,4.0,,,,
Nancy Moore,Computer Science,17.0,4.0,,,,
Sandra Wilson,Arts and Humanities,15.0,2.0,,,,
Patricia Miller,Social Sciences,15.0,7.0,,,,
Anthony Gonzalez,Physical Science and Engineering,13.0,8.0,,,,
Donna Thompson,Health,13.0,7.0,,,,
Mary Ramirez,Social Sciences,13.0,3.0,,,,
Andrew Gonzalez,Physical Science and Engineering,13.0,5.0,,,,
Donald Smith,Social Sciences,15.0,5.0,,,,
Daniel Martinez,Information Technology,12.0,4.0,,,,
Matthew Ramirez,Data Science,15.0,10.0,,,,
Anthony Moore,Data Science,15.0,0.0,,,,
Paul Sanchez,Health,18.0,4.0,,,,
Joshua Lewis,Personal Development,15.0,2.0,,,,
Joseph Thomas,Math and Logic,16.0,10.0,,,,
Joseph Rodriguez,Language Learning,18.0,3.0,,,,
Margaret Thomas,Personal Development,16.0,1.0,,,,
Mary Gonzalez,Language Learning,16.0,6.0,,,,
Nancy Perez,Health,15.0,9.0,,,,
Betty White,Business,14.0,7.0,,,,
David Clark,Arts and Humanities,16.0,9.0,,,,
Sandra Robinson,Physical Science and Engineering,12.0,2.0,,,,
William Martin,Business,13.0,0.0,,,,
Paul Smith,Health,14.0,6.0,,,,
Betty Jackson,Computer Science,16.0,7.0,,,,
Andrew Perez,Data Science,14.0,5.0,,,,
Mary Williams,Computer Science,16.0,4.0,,,,
Margaret Jones,Personal Development,18.0,9.0,,,,
Sandra Garcia,Language Learning,15.0,3.0,,,,
Patricia Rodriguez,Business,18.0,9.0,,,,
Matthew Hernandez,Social Sciences,17.0,3.0,,,,
Susan Anderson,Computer Science,13.0,4.0,,,,
Christopher Hernandez,Language Learning,13.0,3.0,,,,
Matthew Rodriguez,Social Sciences,17.0,10.0,,,,
Anthony Rodriguez,Information Technology,12.0,9.0,,,,
Jennifer Thomas,Data Science,14.0,6.0,,,,
Mary White,Social Sciences,13.0,9.0,,,,
Paul Johnson,Data Science,16.0,0.0,,,,
Daniel Davis,Arts and Humanities,16.0,4.0,,,,
Robert Harris,Social Sciences,15.0,5.0,,,,
John Harris,Data Science,13.0,3.0,,,,
Mary Davis,Health,13.0,10.0,,,,
Richard Clark,Arts and Humanities,15.0,9.0,,,,
Mary Martin,Social Sciences,16.0,2.0,,,,
Elizabeth Davis,Data Science,16.0,5.0,,,,
William Thomas,Language Learning,13.0,2.0,,,,
Linda Jackson,Computer Science,12.0,8.0,,,,
Susan Anderson,Health,15.0,7.0,,,,
Thomas Harris,Computer Science,15.0,8.0,,,,
Lisa Garcia,Personal Development,15.0,3.0,,,,
Joshua Martin,Business,12.0,5.0,,,,
Linda Harris,Personal Development,15.0,7.0,,,,
David Martinez,Math and Logic,16.0,3.0,,,,
Michael Jackson,Data Science,16.0,3.0,,,,
Mary Robinson,Social Sciences,15.0,8.0,,,,
Karen Jackson,Language Learning,13.0,1.0,,,,
Matthew Gonzalez,Information Technology,13.0,3.0,,,,
Richard Williams,Arts and Humanities,14.0,3.0,,,,
Donna Thompson,Data Science,15.0,0.0,,,,
Jessica Brown,Health,16.0,7.0,,,,
Karen Ramirez,Business,16.0,3.0,,,,
Joshua Sanchez,Health,16.0,4.0,,,,
Linda Sanchez,Personal Development,17.0,5.0,,,,
Andrew Sanchez,Computer Science,18.0,3.0,,,,
John Lopez,Computer Science,13.0,10.0,,,,
Paul Wilson,Computer Science,16.0,10.0,,,,
Lisa Williams,Social Sciences,17.0,3.0,,,,
Steven Lee,Data Science,16.0,0.0,,,,
Nancy Smith,Language Learning,18.0,2.0,,,,
Anthony Clark,Computer Science,17.0,3.0,,,,
Ashley Brown,Information Technology,16.0,6.0,,,,
Margaret Lopez,Language Learning,13.0,4.0,,,,
Sandra Thompson,Physical Science and Engineering,13.0,1.0,,,,
Elizabeth Wilson,Data Science,14.0,2.0,,,,
Barbara White,Data Science,18.0,2.0,,,,
Kimberly Lee,Language Learning,16.0,4.0,,,,
Sarah Martin,Data Science,17.0,7.0,,,,
Paul Harris,Health,15.0,4.0,,,,
Donald Anderson,Business,18.0,0.0,,,,
Margaret Clark,Physical Science and Engineering,15.0,10.0,,,,
Donna Rodriguez,Data Science,16.0,9.0,,,,
Christopher Ramirez,Social Sciences,16.0,8.0,,,,
Jessica Clark,Language Learning,15.0,5.0,,,,
Jennifer Rodriguez,Business,17.0,3.0,,,,
Mark Davis,Language Learning,15.0,7.0,,,,
Sandra Jackson,Language Learning,15.0,2.0,,,,
Michelle Perez,Business,16.0,0.0,,,,
Matthew Hernandez,Arts and Humanities,13.0,3.0,,,,
Mary Thomas,Data Science,14.0,3.0,,,,
Christopher Garcia,Data Science,18.0,5.0,,,,
Ashley Miller,Business,15.0,0.0,,,,
Daniel Sanchez,Information Technology,12.0,5.0,,,,
Thomas Hernandez,Data Science,14.0,1.0,,,,
Sarah Lewis,Data Science,12.0,6.0,,,,
Joshua Thompson,Health,13.0,0.0,,,,
Sarah Moore,Personal Development,14.0,2.0,,,,
James Taylor,Physical Science and Engineering,16.0,3.0,,,,
Richard Williams,Personal Development,13.0,2.0,,,,
Jessica White,Social Sciences,12.0,5.0,,,,
Anthony Thomas,Information Technology,16.0,1.0,,,,
Emily Harris,Health,18.0,0.0,,,,
Jessica Thompson,Information Technology,18.0,7.0,,,,
Donald Lee,Data Science,14.0,1.0,,,,
Ashley Anderson,Computer Science,16.0,5.0,,,,
Mary Williams,Health,18.0,5.0,,,,
Charles Davis,Data Science,13.0,5.0,,,,
Betty Thompson,Math and Logic,12.0,8.0,,,,
Jessica Martinez,Personal Development,14.0,7.0,,,,
Donna Lopez,Business,13.0,0.0,,,,
Donald Moore,Computer Science,16.0,9.0,,,,
Kimberly Lopez,Arts and Humanities,16.0,4.0,,,,
Margaret White,Data Science,17.0,10.0,,,,
Emily Hernandez,Business,13.0,0.0,,,,
Daniel Thompson,Social Sciences,18.0,4.0,,,,
Sandra Rodriguez,Information Technology,16.0,2.0,,,,
Karen Rodriguez,Language Learning,12.0,2.0,,,,
Joseph Brown,Information Technology,13.0,10.0,,,,
Richard Hernandez,Math and Logic,13.0,10.0,,,,
Linda White,Arts and Humanities,15.0,10.0,,,,
Paul Harris,Language Learning,12.0,4.0,,,,
Barbara Miller,Language Learning,12.0,5.0,,,,
Susan White,Arts and Humanities,12.0,6.0,,,,
Donald Rodriguez,Language Learning,12.0,4.0,,,,
Donna Harris,Information Technology,14.0,1.0,,,,
Kimberly Martin,Math and Logic,14.0,1.0,,,,
Charles Brown,Language Learning,12.0,9.0,,,,
Richard Martinez,Physical Science and Engineering,17.0,9.0,,,,
Joseph Lopez,Personal Development,17.0,2.0,,,,
Barbara Martinez,Personal Development,17.0,5.0,,,,
James Thompson,Arts and Humanities,15.0,5.0,,,,
Paul Jones,Social Sciences,15.0,1.0,,,,
Sarah Johnson,Language Learning,13.0,2.0,,,,
Patricia Moore,Arts and Humanities,18.0,5.0,,,,
Charles Thompson,Data Science,16.0,3.0,,,,
William Lee,Language Learning,17.0,8.0,,,,
Ashley Brown,Information Technology,17.0,0.0,,,,
James Jackson,Data Science,12.0,7.0,,,,
Charles Thomas,Business,18.0,8.0,,,,
Donald Anderson,Health,14.0,1.0,,,,
Nancy Garcia,Computer Science,17.0,9.0,,,,
Patricia Rodriguez,Personal Development,17.0,1.0,,,,
Donald Brown,Physical Science and Engineering,17.0,3.0,,,,
Robert Gonzalez,Social Sciences,13.0,5.0,,,,
Ashley Williams,Computer Science,18.0,0.0,,,,
Andrew Lee,Personal Development,12.0,5.0,,,,
Patricia Jones,Arts and Humanities,18.0,3.0,,,,
Elizabeth Sanchez,Arts and Humanities,14.0,4.0,,,,
Andrew Martinez,Arts and Humanities,17.0,9.0,,,,
Jennifer Davis,Social Sciences,16.0,4.0,,,,
Linda Moore,Physical Science and Engineering,12.0,1.0,,,,
Anthony Martin,Business,13.0,9.0,,,,
Joshua Sanchez,Physical Science and Engineering,14.0,7.0,,,,
Michelle Davis,Information Technology,12.0,1.0,,,,
Kimberly Gonzalez,Health,12.0,5.0,,,,
Mark Robinson,Business,13.0,7.0,,,,
Mark Martinez,Health,16.0,5.0,,,,
Donna Wilson,Arts and Humanities,18.0,5.0,,,,
Karen Jackson,Math and Logic,16.0,7.0,,,,
Michelle Johnson,Data Science,15.0,1.0,,,,
Michelle White,Information Technology,14.0,6.0,,,,
Michael Harris,Personal Development,13.0,6.0,,,,
Susan Lee,Data Science,17.0,3.0,,,,
Susan Rodriguez,Math and Logic,18.0,2.0,,,,
Jennifer Garcia,Social Sciences,16.0,8.0,,,,
Jessica Garcia,Arts and Humanities,15.0,10.0,,,,
Emily Williams,Health,13.0,10.0,,,,
David Smith,Data Science,12.0,2.0,,,,
Anthony Anderson,Business,16.0,4.0,,,,
Joshua Thomas,Health,16.0,6.0,,,,
Charles Johnson,Information Technology,16.0,3.0,,,,
Joseph Martinez,Social Sciences,15.0,0.0,,,,
Charles Thompson,Information Technology,17.0,6.0,,,,
Sandra Williams,Arts and Humanities,14.0,1.0,,,,
Joseph Robinson,Information Technology,18.0,6.0,,,,
Thomas Sanchez,Information Technology,17.0,2.0,,,,
Donna Perez,Physical Science and Engineering,15.0,1.0,,,,
Richard Wilson,Health,14.0,10.0,,,,
Linda Moore,Information Technology,13.0,10.0,,,,
Joseph Lee,Data Science,17.0,8.0,,,,
Elizabeth Robinson,Arts and Humanities,18.0,10.0,,,,
Sarah Clark,Business,17.0,5.0,,,,
Elizabeth Williams,Health,17.0,6.0,,,,
